link,quote,rank,rate,star,title
https://movie.douban.com/subject/1292052/,希望让人自由。,1,"9.6,804158人评价",,肖申克的救赎
https://movie.douban.com/subject/1295644/,怪蜀黍和小萝莉不得不说的故事。,2,"9.4,772192人评价",,这个杀手不太冷
https://movie.douban.com/subject/1291546/,风华绝代。,3,"9.5,568773人评价",,霸王别姬
https://movie.douban.com/subject/1292720/,一部美国近现代史。,4,"9.4,663979人评价",,阿甘正传
https://movie.douban.com/subject/1292063/,最美的谎言。,5,"9.5,383842人评价",,美丽人生
https://movie.douban.com/subject/1291561/,最好的宫崎骏，最好的久石让。 ,6,"9.2,616077人评价",,千与千寻
https://movie.douban.com/subject/1295124/,拯救一个人，就是拯救整个世界。,7,"9.4,355800人评价",,辛德勒的名单
https://movie.douban.com/subject/1292722/,失去的才是永恒的。 ,8,"9.2,610742人评价",,泰坦尼克号
https://movie.douban.com/subject/3541415/,诺兰给了我们一场无法盗取的梦。,9,"9.2,719184人评价",,盗梦空间
https://movie.douban.com/subject/2131459/,小瓦力，大人生。,10,"9.3,472438人评价",,机器人总动员
https://movie.douban.com/subject/1292001/,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,11,"9.2,566184人评价",,海上钢琴师
https://movie.douban.com/subject/3793023/,英俊版憨豆，高情商版谢耳朵。,12,"9.1,623914人评价",,三傻大闹宝莱坞
https://movie.douban.com/subject/3011091/,永远都不能忘记你所爱的人。,13,"9.2,417861人评价",,忠犬八公的故事
https://movie.douban.com/subject/1291549/,天籁一般的童声，是最接近上帝的存在。 ,14,"9.2,422812人评价",,放牛班的春天
https://movie.douban.com/subject/1292213/,一生所爱。,15,"9.1,431998人评价",,大话西游之大圣娶亲
https://movie.douban.com/subject/1291841/,千万不要记恨你的对手，这样会让你失去理智。,16,"9.2,322763人评价",,教父
https://movie.douban.com/subject/1291560/,人人心中都有个龙猫，童年就永远不会消失。,17,"9.1,392738人评价",,龙猫
https://movie.douban.com/subject/1300267/,Tomorrow is another day.,18,"9.2,255327人评价",,乱世佳人
https://movie.douban.com/subject/1292064/,如果再也不能见到你，祝你早安，午安，晚安。,19,"9.0,416393人评价",,楚门的世界
https://movie.douban.com/subject/1291828/,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,20,"9.1,292541人评价",,天堂电影院
https://movie.douban.com/subject/1849031/,平民励志片。 ,21,"8.9,507344人评价",,当幸福来敲门
